id;author;price;date;title;page_number
1;Table Fish;56616;cyan Forward forecast;Agent;69561
2;radical Configuration Director;26125;Mouse Borders;calculating Overpass;96215
3;interfaces auxiliary Pula;98018;software Bedfordshire driver;connecting;2840
4;quantify;33648;payment markets;override;72527
5;HTTP wireless optical;41196;Jordanian application withdrawal;Soft transmitting Club;41486
6;Zambian backing;65376;syndicate;Soft;17670
7;indigo Account drive;29497;Product Web;Industrial;79272
8;Future-proofed;31019;Table Sleek input;payment salmon;5658
9;e-tailers functionalities Supervisor;73444;Alaska Oklahoma;Health Paradigm;75226
10;Pakistan up;60075;generate Bedfordshire Accountability;Planner EXE New;93590
